ServiceID,ServiceName,CurrentSellPrice,PricingModel,UnitOfSale,ScopeDefinition,IncludedRevisionsLimits,TriggerToStartWork,CompletionDefinition,OwnerRole,Status,Notes,Genre
031,SEO Reporting,495,Hourly,Per report,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
033,Google My Business Post,1075,Fixed Price,Per post,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
038,Social Media Plan (3 month),13200,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Social Media
041,Meetings - Account manager costs,1075,Hourly,Per account,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
044,Campaign Strategy,7200,Fixed Price,Per campaign,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
046,3D Configurator,16500,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
048,Landing Pages,0,Fixed Price,Per page,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
049,Link Building,0,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
051,LinkedIn Campaign Set Up,0,Fixed Price,Per campaign,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
052,Microsite,0,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
053,New Website Design & Build,0,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
054,Project Management,20000,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
055,Reporting,0,Hourly,Per report,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
059,SEO:On Page SEO,0,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
060,SEO:Research,0,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
061,SEO:SEO Service,0,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
062,SEO:Services,1075,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
063,Services:3D modelling creative production,0,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
065,Social Media,0,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Social Media
068,Toxic link analysis,0,Fixed Price,Per audit,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
071,Website Cache & Security,0,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
073,Website uploads & maintenance,0,Hourly,Per hour,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
075,Youtube Campaign Setup,0,Fixed Price,Per campaign,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
076,Youtube Campaign Spend,0,Fixed Price,Per campaign,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
10,Chatbot Set Up,1150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
100,Paid Media,10,Percentage,Per month,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
1000,Automation Software,2170,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
1001,Business Plan - Marketing automation,32550,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
1002,Marketing Automation & Social Media,43400,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Social Media
1003,Campaign Creation & Complete Creative Solutions,65100,Fixed Price,Per campaign,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
10111,Annual Website Hosting,1960,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
10112,Annual Website Hosting - Enterprise Plugins,5430,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
102,Google Search Ad Copy,2150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Content & Copywriting
103,Facebook - Static Image - Design:,1150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
104,Facebook - Static Image - Design and Copy:,2150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Content & Copywriting
105,Facebook - Video - Design only:,2150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
106,Facebook - Video - Design and Copy:,3230,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
107,Facebook - Carousel - Design only:,2150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
108,Facebook - Carousel  - Design and Copy:,4300,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Content & Copywriting
109,Instagram - Static Image - Design only:,1150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
110,Instagram - Static Image - Design and Copy:,2150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Content & Copywriting
111,Local SEO Pack,2720,Fixed Price,Per pack,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
112,Instagram - Video - Design and Copy:,3230,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
113,Instagram - Carousel - Design only:,2150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
114,Instagram - Carousel - Design and Copy:,4300,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Content & Copywriting
115,Youtube - Static Image - Design only:,1150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
116,Youtube - Static Image - Design and Copy:,2150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Content & Copywriting
117,Youtube - Video - Design only:,2150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
118,Youtube - Video - Design and Copy:,3230,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
119,LinkedIn - Static Image - Design only:,1150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
120,LinkedIn - Static Image - Design and Copy:,2150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Content & Copywriting
121,LinkedIn - Video - Design only:,2150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
122,LinkedIn - Video - Design and Copy:,3230,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
123,LinkedIn - Carousel - Design only:,2150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
124,LinkedIn - Carousel - Design and Copy:,4300,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Content & Copywriting
125,Logo and Corporate Identity Creation,2150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
126,Creative Production (Adhoc),1150,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
130,Video Shooting,29840,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
131,Video Editing,5970,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
132,LinkedIn Media Spend,1200,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
133,Google Media Spend,2390,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
134,Optimisation fee: 15% of Media Spend,0,Percentage,Per month,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
135,Content Calendar,1150,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Content & Copywriting
137,Content Creation,32490,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Content & Copywriting
138,Software,0,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
139,Paid Media Spend,233520,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
140,Paid Media Optimisation,10,Percentage,Per month,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
16,Google Discovery Campaign Creation,6450,Fixed Price,Per campaign,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
18,Facebook Campaign Creation,6450,Fixed Price,Per campaign,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
19,Twitter Campaign Creation,6450,Fixed Price,Per campaign,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
20,Campaign Optimization and Reporting,1150,Hourly,Per campaign,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
20111,Enterprise Website Hosting,1450,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
20112,CDN Implementation,3800,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
21,Search Campaign - Content Creation,2150,Fixed Price,Per campaign,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Content & Copywriting
24,SEO Onboaring,2150,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
25,SEO Audit,14330,Fixed Price,Per audit,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
28,SEO Off Page (per link?),60,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
29,SEO Redirect Mapping / 301 Redirect Migration Plan,14330,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
32,Content Strategy (3 month),14330,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Content & Copywriting
34,Google My Business Optimization,1150,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
35,Content Calendar (3 month),6450,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Content & Copywriting
36,Article Creation,2630,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Content & Copywriting
37,Social Media Post,3590,Fixed Price,Per post,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Social Media
39,Brochure Design,98820,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
3D001,Motion Graphics & Animation,5790,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
3D002,4K High Res Rendering,1200,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
3D003,Art Direction,5790,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
3D004,Post Processing,5790,Fixed Price,Per post,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
3D005,Voice Over Artist,4330,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
3D006,Voice Over Artist - License Rights,4330,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
3D007,Voice Over Artist - Booking Fee,1350,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
3D008,Audio Studio,3290,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
3D009,Production Library Musc,2390,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
3D010,Project Management Fee,20,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
3D0101,3D Rendering - High Res Video,660,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
3D0102,3D Rendering - High Res Still,280,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
40,Infographic,6450,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
42,Project Management,1150,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
43,Digital Strategy,28650,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
